timestamp,mt5_bid,mt5_ask,mt5_time_msc,backend_bid,backend_ask,backend_event_time,backend_sequence,websocket_bid,websocket_ask,websocket_event_time,websocket_sequence,ui_bid,ui_ask,ui_event_time,ui_sequence,active_connections
2026-09-21T08:20:03.792360+00:00,4353.63,4354.04,1789989603785,4353.68,4354.09,2026-09-21T08:20:03.868000Z,14,4353.64,4354.06,2026-09-21T08:20:03.552000Z,13,4353.64,4354.06,2026-09-21T08:20:03.552000Z,13,1
2026-09-21T08:20:04.752845+00:00,4353.76,4354.17,1789989604868,4353.76,4354.17,2026-09-21T08:20:04.670000Z,18,4353.76,4354.17,2026-09-21T08:20:04.670000Z,18,4353.76,4354.17,2026-09-21T08:20:04.670000Z,18,1
2026-09-21T08:20:05.777393+00:00,4353.61,4354.03,1789989605869,4353.61,4354.03,2026-09-21T08:20:05.693000Z,23,4353.61,4354.03,2026-09-21T08:20:05.693000Z,23,4353.61,4354.03,2026-09-21T08:20:05.693000Z,23,1
2026-09-21T08:20:06.806408+00:00,4353.63,4354.04,1789989606691,4353.63,4354.04,2026-09-21T08:20:06.691000Z,28,4353.63,4354.04,2026-09-21T08:20:06.691000Z,28,4353.63,4354.04,2026-09-21T08:20:06.691000Z,28,1
2026-09-21T08:20:07.832988+00:00,4353.62,4354.04,1789989607724,4353.62,4354.04,2026-09-21T08:20:07.724000Z,33,4353.62,4354.04,2026-09-21T08:20:07.591000Z,32,4353.62,4354.04,2026-09-21T08:20:07.591000Z,32,1
2026-09-21T08:20:08.813745+00:00,4353.63,4354.05,1789989608674,4353.63,4354.05,2026-09-21T08:20:08.674000Z,38,4353.63,4354.05,2026-09-21T08:20:08.674000Z,38,4353.63,4354.05,2026-09-21T08:20:08.674000Z,38,1
2026-09-21T08:20:09.905159+00:00,4353.67,4354.09,1789989609959,4353.66,4354.07,2026-09-21T08:20:09.668000Z,43,4353.66,4354.07,2026-09-21T08:20:09.668000Z,43,4353.66,4354.07,2026-09-21T08:20:09.668000Z,43,1
2026-09-21T08:20:11.004040+00:00,4353.73,4354.14,1789989610668,4353.73,4354.14,2026-09-21T08:20:10.668000Z,49,4353.73,4354.14,2026-09-21T08:20:10.668000Z,49,4353.73,4354.14,2026-09-21T08:20:10.668000Z,49,1
2026-09-21T08:20:11.927339+00:00,4353.66,4354.07,1789989612031,4353.78,4354.20,2026-09-21T08:20:11.733000Z,53,4353.78,4354.20,2026-09-21T08:20:11.733000Z,53,4353.78,4354.20,2026-09-21T08:20:11.733000Z,53,1
2026-09-21T08:20:12.920506+00:00,4353.18,4353.60,1789989613022,4353.34,4353.76,2026-09-21T08:20:12.885000Z,58,4353.34,4353.76,2026-09-21T08:20:12.885000Z,58,4353.34,4353.76,2026-09-21T08:20:12.885000Z,58,1
2026-09-21T08:20:13.940486+00:00,4352.93,4353.35,1789989613986,4352.93,4353.34,2026-09-21T08:20:13.755000Z,63,4352.92,4353.34,2026-09-21T08:20:13.669000Z,62,4352.92,4353.34,2026-09-21T08:20:13.669000Z,62,1
2026-09-21T08:20:14.969683+00:00,4352.90,4353.32,1789989614753,4352.90,4353.32,2026-09-21T08:20:14.753000Z,68,4352.90,4353.32,2026-09-21T08:20:14.753000Z,68,4352.90,4353.32,2026-09-21T08:20:14.753000Z,68,1
2026-09-21T08:20:16.010367+00:00,4352.93,4353.34,1789989616068,4352.94,4353.35,2026-09-21T08:20:15.921000Z,73,4352.96,4353.38,2026-09-21T08:20:15.593000Z,72,4352.96,4353.38,2026-09-21T08:20:15.593000Z,72,1
2026-09-21T08:20:17.026703+00:00,4352.91,4353.33,1789989616968,4352.91,4353.33,2026-09-21T08:20:16.968000Z,78,4352.91,4353.33,2026-09-21T08:20:16.968000Z,78,4352.91,4353.33,2026-09-21T08:20:16.968000Z,78,1
2026-09-21T08:20:18.023243+00:00,4352.71,4353.13,1789989618025,4352.71,4353.12,2026-09-21T08:20:17.963000Z,83,4352.71,4353.12,2026-09-21T08:20:17.963000Z,83,4352.71,4353.12,2026-09-21T08:20:17.963000Z,83,1
2026-09-21T08:20:19.034016+00:00,4352.79,4353.20,1789989619148,4352.79,4353.21,2026-09-21T08:20:19.010000Z,88,4352.79,4353.21,2026-09-21T08:20:18.767000Z,87,4352.79,4353.21,2026-09-21T08:20:18.767000Z,87,1
2026-09-21T08:20:20.085558+00:00,4352.80,4353.22,1789989619967,4352.80,4353.22,2026-09-21T08:20:19.967000Z,93,4352.81,4353.23,2026-09-21T08:20:19.305000Z,92,4352.81,4353.23,2026-09-21T08:20:19.305000Z,92,1
2026-09-21T08:20:21.135957+00:00,4352.85,4353.26,1789989621169,4352.85,4353.27,2026-09-21T08:20:21.103000Z,98,4352.83,4353.24,2026-09-21T08:20:20.842000Z,97,4352.83,4353.24,2026-09-21T08:20:20.842000Z,97,1
2026-09-21T08:20:22.184965+00:00,4352.82,4353.23,1789989622243,4352.82,4353.24,2026-09-21T08:20:21.586000Z,103,4352.82,4353.24,2026-09-21T08:20:21.586000Z,102,4352.82,4353.24,2026-09-21T08:20:21.586000Z,102,1
2026-09-21T08:20:23.189025+00:00,4352.80,4353.22,1789989622985,4352.80,4353.22,2026-09-21T08:20:22.985000Z,108,4352.80,4353.22,2026-09-21T08:20:22.985000Z,108,4352.80,4353.22,2026-09-21T08:20:22.985000Z,108,1
2026-09-21T08:20:24.208551+00:00,4352.83,4353.24,1789989623984,4352.83,4353.24,2026-09-21T08:20:23.984000Z,113,4352.83,4353.24,2026-09-21T08:20:23.984000Z,113,4352.83,4353.24,2026-09-21T08:20:23.984000Z,113,1
2026-09-21T08:20:25.241552+00:00,4352.79,4353.20,1789989625285,4352.78,4353.20,2026-09-21T08:20:25.236000Z,118,4352.78,4353.20,2026-09-21T08:20:25.236000Z,118,4352.78,4353.20,2026-09-21T08:20:25.236000Z,118,1
2026-09-21T08:20:26.294934+00:00,4352.71,4353.12,1789989626368,4352.71,4353.12,2026-09-21T08:20:26.227000Z,123,4352.71,4353.12,2026-09-21T08:20:26.227000Z,123,4352.71,4353.12,2026-09-21T08:20:26.227000Z,123,1
2026-09-21T08:20:27.329793+00:00,4352.72,4353.13,1789989627405,4352.71,4353.13,2026-09-21T08:20:27.068000Z,128,4352.71,4353.13,2026-09-21T08:20:27.068000Z,128,4352.71,4353.13,2026-09-21T08:20:27.068000Z,128,1
2026-09-21T08:20:28.409449+00:00,4352.70,4353.12,1789989628487,4352.70,4353.12,2026-09-21T08:20:28.487000Z,134,4352.72,4353.13,2026-09-21T08:20:28.267000Z,133,4352.72,4353.13,2026-09-21T08:20:28.267000Z,133,1
2026-09-21T08:20:29.727320+00:00,4352.70,4353.12,1789989629682,4352.70,4353.12,2026-09-21T08:20:29.682000Z,140,4352.70,4353.12,2026-09-21T08:20:29.682000Z,140,4352.70,4353.12,2026-09-21T08:20:29.682000Z,140,1
2026-09-21T08:20:30.803056+00:00,4352.60,4353.01,1789989630868,4352.60,4353.02,2026-09-21T08:20:30.777000Z,145,4352.60,4353.02,2026-09-21T08:20:30.777000Z,145,4352.60,4353.01,2026-09-21T08:20:30.485000Z,144,1
2026-09-21T08:20:31.863615+00:00,4352.71,4353.12,1789989631785,4352.71,4353.12,2026-09-21T08:20:31.785000Z,150,4352.71,4353.12,2026-09-21T08:20:31.785000Z,150,4352.71,4353.12,2026-09-21T08:20:31.785000Z,150,1
2026-09-21T08:20:32.927233+00:00,4352.70,4353.11,1789989632988,4352.71,4353.13,2026-09-21T08:20:32.747000Z,155,4352.71,4353.13,2026-09-21T08:20:32.747000Z,155,4352.71,4353.13,2026-09-21T08:20:32.747000Z,155,1
2026-09-21T08:20:33.986285+00:00,4352.69,4353.11,1789989633813,4352.69,4353.11,2026-09-21T08:20:33.813000Z,161,4352.69,4353.11,2026-09-21T08:20:33.813000Z,160,4352.69,4353.11,2026-09-21T08:20:33.813000Z,160,1
2026-09-21T08:20:35.222328+00:00,4352.72,4353.13,1789989635136,4352.70,4353.12,2026-09-21T08:20:35.210000Z,166,4352.71,4353.13,2026-09-21T08:20:34.867000Z,165,4352.71,4353.13,2026-09-21T08:20:34.867000Z,165,1
2026-09-21T08:20:36.047995+00:00,4352.68,4353.09,1789989636101,4352.68,4353.10,2026-09-21T08:20:35.782000Z,170,4352.68,4353.10,2026-09-21T08:20:35.782000Z,169,4352.68,4353.10,2026-09-21T08:20:35.782000Z,169,1
2026-09-21T08:20:37.083195+00:00,4352.56,4352.97,1789989637138,4352.58,4352.99,2026-09-21T08:20:37.062000Z,175,4352.58,4353.00,2026-09-21T08:20:36.766000Z,174,4352.58,4353.00,2026-09-21T08:20:36.766000Z,174,1
2026-09-21T08:20:38.086086+00:00,4352.56,4352.98,1789989638097,4352.61,4353.02,2026-09-21T08:20:38.033000Z,180,4352.55,4352.97,2026-09-21T08:20:37.385000Z,179,4352.55,4352.97,2026-09-21T08:20:37.385000Z,179,1
2026-09-21T08:20:39.112630+00:00,4352.46,4352.88,1789989639210,4352.48,4352.89,2026-09-21T08:20:39.050000Z,185,4352.48,4352.89,2026-09-21T08:20:39.050000Z,185,4352.48,4352.89,2026-09-21T08:20:39.050000Z,185,1
2026-09-21T08:20:40.140863+00:00,4352.47,4352.88,1789989639670,4352.47,4352.88,2026-09-21T08:20:39.670000Z,190,4352.47,4352.88,2026-09-21T08:20:39.670000Z,190,4352.47,4352.88,2026-09-21T08:20:39.670000Z,190,1
2026-09-21T08:20:41.213176+00:00,4352.46,4352.87,1789989640953,4352.46,4352.87,2026-09-21T08:20:40.953000Z,195,4352.46,4352.87,2026-09-21T08:20:40.953000Z,195,4352.46,4352.87,2026-09-21T08:20:40.953000Z,195,1
